scan_id,run_at,run_by,run_by_username,total_records,passed_records,failed_records,issue_summary_json
84133A6861AF,2026-02-22T14:33:16.150921+00:00,u9954ad41,AdminUser,7,7,0,[]
7069EB31514C,2026-02-22T16:18:09.124056+00:00,u9954ad41,AdminUser,10,10,0,[]
FC32A8BFE094,2026-02-22T17:15:06.743295+00:00,u9954ad41,AdminUser,10,10,0,[]
3CE8817B39E5,2026-02-22T17:54:24.404240+00:00,u9954ad41,AdminUser,10,10,0,[]
0B49BA5F382E,2026-02-23T06:58:38.101034+00:00,u9954ad41,AdminUser,10,10,0,[]
255B65762015,2026-02-23T07:08:38.542845+00:00,u9954ad41,AdminUser,12,12,0,[]
948038238BD3,2026-02-23T07:20:08.550783+00:00,u9954ad41,AdminUser,12,12,0,[]
