drive_id,user_id,username,folder,original_filename,stored_filename,file_hash,file_size,mime_type,uploaded_at,status,admin_id,admin_username,admin_note,verified_at,verification_id
919DF6185529,u69542bad,UserAdmin,root,Black Illustrative Technology Poster.jpg,drive/u69542bad/root/919DF6185529_Black_Illustrative_Technology_Poster.jpg.enc,f27c801538de5d8884aa99021ff9211e6b4e42625d8ae50fa5eb20a826e61f23,415115,image/jpeg,2026-02-23T08:12:20.236577+00:00,pending,,,,,
2518CD045553,u69542bad,UserAdmin,root,Jpeg DCT Compress Based Defake Report.doc,drive/u69542bad/root/2518CD045553_Jpeg_DCT_Compress_Based_Defake_Report.doc.enc,259a86c2a61ad1b9af1f3ee4247c174acdeb5f3bb044608fb520699b5ced4a01,1286656,application/msword,2026-02-23T08:12:20.257743+00:00,pending,,,,,
99D7BF274B6A,u69542bad,UserAdmin,root,Single image dehazing Report.doc,drive/u69542bad/root/99D7BF274B6A_Single_image_dehazing_Report.doc.enc,1d47b2ab9e3a3e7407b0b58c051315278d2a4d2f4452d521fa48e67b9ddbeb7d,3717632,application/msword,2026-02-23T08:12:20.312673+00:00,pending,,,,,
